Commercial;Client;Projet;Segment;Ville;Région;Pays;Potentiel (MAD);Probabilité;Pondéré (auto);Commentaire terrain;Statut;Prochaine Action;Date Action;Priorité (auto);? Alerte (auto);Date Closing Est.;Bucket Temporel (auto);Risque;Dernière MAJ;Score Priorité (auto);? Alertes V2 (renforcées);
Bruno;TGCC /GIDNA;CHU FES;Institutional;;Fès-Meknès;Maroc;92 941 000;10%;9 294 100;;Prospection;;;LOW;? SANS ACTION PLANIFIÉE ? DATE ACTION MANQUANTE;30/09/2026;Dépassé;;;25;? SANS ACTION PLANIFIÉE ? DATE ACTION MANQUANTE;
Amine;SK SIGNATURE;SKALI TADART;Residential;;Casablanca-Settat;Maroc;1 500 000;0%;0;OFFRE ENVOYER AU CLIENT , LE GERANT REFUSE DE TRAVAILLER AVEC NOUS , MAUVAISE REPUTATION SUR NOTRE POSE;Perdu;;;;;01/04/2026;Dépassé;;;0;;
Amine;ZABDI PROMO;RESIDENCE AIN SEBAA;Residential;;Casablanca-Settat;Maroc;700 000;100%;700 000;;Gagné;;;HIGH;;20/04/2026;Dépassé;;;37;;
Bruno;TGCC;STADE BENSLIMANE;Commercial;;Casablanca-Settat;Maroc;30 102 294;10%;3 010 229;;Prospection;;;LOW;? SANS ACTION PLANIFIÉE ? DATE ACTION MANQUANTE;01/09/2026;Dépassé;;;15;? SANS ACTION PLANIFIÉE ? DATE ACTION MANQUANTE;
Bruno;MFADEL;RADISON;Hospitality;;Casablanca-Settat;Maroc;20 000 000;50%;10 000 000;;En cours;;;MEDIUM;? SANS ACTION PLANIFIÉE ? DATE ACTION MANQUANTE;30/06/2026;Dépassé;;;30;? SANS ACTION PLANIFIÉE ? DATE ACTION MANQUANTE;
Bruno;CHAABAN INVEST;PROJET L OREE DU PALM;Residential;;Casablanca-Settat;Maroc;25 858 325;10%;2 585 833;;Prospection;;;LOW;? SANS ACTION PLANIFIÉE ? DATE ACTION MANQUANTE;30/06/2026;Dépassé;;;15;? SANS ACTION PLANIFIÉE ? DATE ACTION MANQUANTE;
Bruno;VALOGEST;CUR D ANFA R04;Residential;;Casablanca-Settat;Maroc;21 000 001;10%;2 100 000;;Prospection;;;LOW;? SANS ACTION PLANIFIÉE ? DATE ACTION MANQUANTE;30/04/2026;Dépassé;;;15;? SANS ACTION PLANIFIÉE ? DATE ACTION MANQUANTE;
Bruno;VALOGEST;CUR D ANFA R03;Residential;;Casablanca-Settat;Maroc;21 000 000;80%;16 800 000;;Prospection;;;HIGH;? STATUT/PROB INCOHÉRENT ? SANS ACTION PLANIFIÉE ? DATE ACTION MANQUANTE ? 80%+ SANS ACTION;30/04/2026;Dépassé;;;45;? STATUT/PROB INCOHÉRENT ? SANS ACTION PLANIFIÉE ? DATE ACTION MANQUANTE ? 80%+ SANS ACTION;
Oussama;DOLIDOL;SOMMIER DOLIDOL;Hospitality;;Casablanca-Settat;Maroc;18 056 750;80%;14 445 400;DEVIS REMIS A DOLIDOL;En cours;;;HIGH;? SANS ACTION PLANIFIÉE ? DATE ACTION MANQUANTE ? 80%+ SANS ACTION;19/06/2026;Dépassé;;;37;? SANS ACTION PLANIFIÉE ? DATE ACTION MANQUANTE ? 80%+ SANS ACTION;
Bruno;CGI;CASA ANFA LE PARC C BOIS;Residential;;Casablanca-Settat;Maroc;15 257 300;10%;1 525 730;;Prospection;;;LOW;? SANS ACTION PLANIFIÉE ? DATE ACTION MANQUANTE;30/07/2026;Dépassé;;;7;? SANS ACTION PLANIFIÉE ? DATE ACTION MANQUANTE;
Amine;ETOILE MARINE;ETOILE MARINE;Residential;;;Maroc;3 000 000;80%;2 400 000;;Prospection;;;HIGH;? STATUT/PROB INCOHÉRENT ? SANS ACTION PLANIFIÉE ? DATE ACTION MANQUANTE ? 80%+ SANS ACTION;04/05/2026;Dépassé;;;27;? STATUT/PROB INCOHÉRENT ? SANS ACTION PLANIFIÉE ? DATE ACTION MANQUANTE ? 80%+ SANS ACTION;
Bruno;FERMAPREFA;AMV 300 VILLAS R2 R3;Residential;;Marrakech-Safi;Maroc;11 775 700;80%;9 420 560;;Prospection;;;HIGH;? STATUT/PROB INCOHÉRENT ? SANS ACTION PLANIFIÉE ? DATE ACTION MANQUANTE ? 80%+ SANS ACTION;30/06/2026;Dépassé;;;37;? STATUT/PROB INCOHÉRENT ? SANS ACTION PLANIFIÉE ? DATE ACTION MANQUANTE ? 80%+ SANS ACTION;
Bruno;KARDAM;HOTEL MARIOT MRK;Hospitality;;Marrakech-Safi;Maroc;11 702 000;10%;1 170 200;;Prospection;;;LOW;? SANS ACTION PLANIFIÉE ? DATE ACTION MANQUANTE;01/09/2026;Dépassé;;;7;? SANS ACTION PLANIFIÉE ? DATE ACTION MANQUANTE;
Bruno;AEP INVEST;SERENIA;Residential;;Casablanca-Settat;Maroc;9 900 000;10%;990 000;;Prospection;;;LOW;? SANS ACTION PLANIFIÉE ? DATE ACTION MANQUANTE;30/07/2026;Dépassé;;;1;? SANS ACTION PLANIFIÉE ? DATE ACTION MANQUANTE;
Bruno;VALOGEST;CUR D ANFA CENTRE COMMERCIAL;Commercial;;Marrakech-Safi;Maroc;9 000 000;50%;4 500 000;;Prospection;;;MEDIUM;? SANS ACTION PLANIFIÉE ? DATE ACTION MANQUANTE;30/07/2026;Dépassé;;;16;? SANS ACTION PLANIFIÉE ? DATE ACTION MANQUANTE;
Bruno;TGCC;SALLE SPORT FES;Commercial;;Fès-Meknès;Maroc;8 839 000;10%;883 900;;Prospection;;;LOW;? SANS ACTION PLANIFIÉE ? DATE ACTION MANQUANTE;01/09/2026;Dépassé;;;1;? SANS ACTION PLANIFIÉE ? DATE ACTION MANQUANTE;
Bruno;CGI;VILLAS TAGHAZOUT BAY P23;Residential;;Souss-Massa;Maroc;8 333 732;0%;0;;Perdu;;;;;01/09/2026;Dépassé;;;0;;
Amine;PALM CALIFORNIE;PALM CALIFORNIE;Residential;;Casablanca-Settat;Maroc;4 000 000;50%;2 000 000;;Prospection;;;;;15/07/2026;;;;;;
Amine;BATIKRAFT;RESIDENCE EL BARNOUSSI;Residential;;Casablanca-Settat;Maroc;4 000 000;50%;2 000 000;;Prospection;;;;;15/07/2026;;;;;;
Amine;JAMAII;JNANE AL OLFA;Residential;;Casablanca-Settat;Maroc;2 100 000;80%;1 680 000;;Prospection;;;;;15/07/2026;;;;;;
Amine;AMMA IMMO;RESIDENCE ALMAS;Residential;Casablanca;Casablanca-Settat;Maroc;1 800 000;80%;1 440 000;TEMOIN EN ATTENTE DE POSE SUIVANT LA AVANCEMENT CHANTIER;Négociation;;;HIGH;? SANS ACTION PLANIFIÉE ? DATE ACTION MANQUANTE ? 80%+ SANS ACTION;04/05/2026;Dépassé;;;27;? SANS ACTION PLANIFIÉE ? DATE ACTION MANQUANTE ? 80%+ SANS ACTION;
Bruno;GROUPE AHOCIENIA;VILLA CYPRES GROUPE AH;Residential;RABAT;Rabat-Salé-Kénitra;Maroc;8 000 000;50%;4 000 000;;Prospection;;;MEDIUM;? SANS ACTION PLANIFIÉE ? DATE ACTION MANQUANTE;30/04/2026;Dépassé;;;16;? SANS ACTION PLANIFIÉE ? DATE ACTION MANQUANTE;
Bruno;SEG;ZAER BOIS;Residential;RABAT;Rabat-Salé-Kénitra;Maroc;7 900 000;10%;790 000;;Prospection;;;LOW;? SANS ACTION PLANIFIÉE ? DATE ACTION MANQUANTE;01/09/2026;Dépassé;;;1;? SANS ACTION PLANIFIÉE ? DATE ACTION MANQUANTE;
Bruno;MFADEL;SOHAUS APPARTEMENT CUISINE;Residential;CASABLANCA;Casablanca-Settat;Maroc;7 750 000;50%;3 875 000;;Prospection;;;MEDIUM;? SANS ACTION PLANIFIÉE ? DATE ACTION MANQUANTE;30/06/2026;Dépassé;;;16;? SANS ACTION PLANIFIÉE ? DATE ACTION MANQUANTE;
Bruno;MFADEL;SOHAUS APPARTEMENT BOIS;Residential;CASABLANCA;Casablanca-Settat;Maroc;7 726 000;50%;3 863 000;;Prospection;;;MEDIUM;? SANS ACTION PLANIFIÉE ? DATE ACTION MANQUANTE;30/06/2026;Dépassé;;;16;? SANS ACTION PLANIFIÉE ? DATE ACTION MANQUANTE;
Oussama;CMS;SIÈGE ATTIJARI ABIDJAN;Commercial;Abidjan;;Côte d'Ivoire;7 400 000;0%;0;;Perdu;;;;;01/04/2026;Dépassé;;;0;;
Bruno;BANKAI;NOOR PRESTIGE 400 APPT;Residential;MARRAKECH;Marrakech-Safi;Maroc;7 120 000;80%;5 696 000;;Prospection;;;HIGH;? STATUT/PROB INCOHÉRENT ? SANS ACTION PLANIFIÉE ? DATE ACTION MANQUANTE ? 80%+ SANS ACTION;01/09/2026;Dépassé;;;31;? STATUT/PROB INCOHÉRENT ? SANS ACTION PLANIFIÉE ? DATE ACTION MANQUANTE ? 80%+ SANS ACTION;
Bruno;YAMED;CURIO;Residential;CASABLANCA;Casablanca-Settat;Maroc;9 800 000;80%;7 840 000;;En cours;;;HIGH;? SANS ACTION PLANIFIÉE ? DATE ACTION MANQUANTE ? 80%+ SANS ACTION;30/06/2026;Dépassé;;;31;? SANS ACTION PLANIFIÉE ? DATE ACTION MANQUANTE ? 80%+ SANS ACTION;
Bruno;JULIA;MRK 350 APPART BOIS;Residential;MARRAKECH;Marrakech-Safi;Maroc;7 000 000;10%;700 000;;En cours;;;LOW;? SANS ACTION PLANIFIÉE ? DATE ACTION MANQUANTE;01/09/2026;Dépassé;;;1;? SANS ACTION PLANIFIÉE ? DATE ACTION MANQUANTE;
Bruno;JULIA;MRK 350 APPART CUISINE;Residential;MARRAKECH;Marrakech-Safi;Maroc;7 000 000;10%;700 000;;En cours;;;LOW;? SANS ACTION PLANIFIÉE ? DATE ACTION MANQUANTE;01/09/2026;Dépassé;;;1;? SANS ACTION PLANIFIÉE ? DATE ACTION MANQUANTE;
