commercial;contact;entreprise;nom_projet;localisation;ville;region;pays;email;telephone;type_client;type_projet;produits;statut;potentiel;canal_origine;flux_type;budget_mad;probabilite;commentaire;date_closing_est;prochaine_relance
Bruno;TGCC /GIDNA;TGCC /GIDNA;CHU FES;Fès-Meknès;;Fès-Meknès;Maroc;;;;Institutional;;VISITE;FAIBLE;;;92941000;LOW;;30/09/2026;
Amine;SK SIGNATURE;SK SIGNATURE;SKALI TADART;Casablanca-Settat;;Casablanca-Settat;Maroc;;;;Residential;;PERDUE;MOYEN;;;1500000;LOW;OFFRE ENVOYER AU CLIENT , LE GERANT REFUSE DE TRAVAILLER AVEC NOUS , MAUVAISE REPUTATION SUR NOTRE POSE;01/04/2026;
Amine;ZABDI PROMO;ZABDI PROMO;RESIDENCE AIN SEBAA;Casablanca-Settat;;Casablanca-Settat;Maroc;;;;Residential;;GAGNEE;IMPORTANT;;;700000;HIGH;;20/04/2026;
Bruno;TGCC;TGCC;STADE BENSLIMANE;Casablanca-Settat;;Casablanca-Settat;Maroc;;;;Commercial;;VISITE;FAIBLE;;;30102294;LOW;;01/09/2026;
Bruno;MFADEL;MFADEL;RADISON;Casablanca-Settat;;Casablanca-Settat;Maroc;;;;Hospitality;;CHIFFRAGE;MOYEN;;;20000000;MED;;30/06/2026;
Bruno;CHAABAN INVEST;CHAABAN INVEST;PROJET L OREE DU PALM;Casablanca-Settat;;Casablanca-Settat;Maroc;;;;Residential;;VISITE;FAIBLE;;;25858325;LOW;;30/06/2026;
Bruno;VALOGEST;VALOGEST;CUR D ANFA R04;Casablanca-Settat;;Casablanca-Settat;Maroc;;;;Residential;;VISITE;FAIBLE;;;21000001;LOW;;30/04/2026;
Bruno;VALOGEST;VALOGEST;CUR D ANFA R03;Casablanca-Settat;;Casablanca-Settat;Maroc;;;;Residential;;VISITE;IMPORTANT;;;21000000;HIGH;;30/04/2026;
Oussama;DOLIDOL;DOLIDOL;SOMMIER DOLIDOL;Casablanca-Settat;;Casablanca-Settat;Maroc;;;;Hospitality;;CHIFFRAGE;IMPORTANT;;;18056750;HIGH;DEVIS REMIS A DOLIDOL;19/06/2026;
Bruno;CGI;CGI;CASA ANFA LE PARC C BOIS;Casablanca-Settat;;Casablanca-Settat;Maroc;;;;Residential;;VISITE;FAIBLE;;;15257300;LOW;;30/07/2026;
Amine;ETOILE MARINE;ETOILE MARINE;ETOILE MARINE;;;;Maroc;;;;Residential;;VISITE;IMPORTANT;;;3000000;HIGH;;04/05/2026;
Bruno;FERMAPREFA;FERMAPREFA;AMV 300 VILLAS R2 R3;Marrakech-Safi;;Marrakech-Safi;Maroc;;;;Residential;;VISITE;IMPORTANT;;;11775700;HIGH;;30/06/2026;
Bruno;KARDAM;KARDAM;HOTEL MARIOT MRK;Marrakech-Safi;;Marrakech-Safi;Maroc;;;;Hospitality;;VISITE;FAIBLE;;;11702000;LOW;;01/09/2026;
Bruno;AEP INVEST;AEP INVEST;SERENIA;Casablanca-Settat;;Casablanca-Settat;Maroc;;;;Residential;;VISITE;FAIBLE;;;9900000;LOW;;30/07/2026;
Bruno;VALOGEST;VALOGEST;CUR D ANFA CENTRE COMMERCIAL;Marrakech-Safi;;Marrakech-Safi;Maroc;;;;Commercial;;VISITE;MOYEN;;;9000000;MED;;30/07/2026;
